Column1,IN_PERSONAL_ANNO,IN_PERSONAL_MES,VC_PERSONAL_REGIMEN_LABORAL,VC_PERSONAL_CARGO,VC_PERSONAL_DEPENDENCIA,MO_PERSONAL_REMUNERACIONES,MO_PERSONAL_HONORARIOS,MO_PERSONAL_INCENTIVO,MO_PERSONAL_GRATIFICACION,MO_PERSONAL_OTROS_BENEFICIOS,MO_PERSONAL_TOTAL,VC_PERSONAL_OBSERVACIONES,FEC_REG,gender,male,female
1316,2019,7,8,PENSIONISTA,,979.21,0,0,0,300,1279.21,,8/14/2019 10:50:50 AM,female,0,1
1317,2019,7,8,PENSIONISTA,,985.4,0,0,0,300,1285.4,,8/14/2019 10:50:50 AM,male,1,0
1318,2019,7,8,PENSIONISTA,,474,0,0,0,300,774,,8/14/2019 10:50:50 AM,male,1,0
1319,2019,7,8,PENSIONISTA,,748.53,0,0,0,300,1048.53,,8/14/2019 10:50:50 AM,female,0,1
1320,2019,7,8,PENSIONISTA,,585,0,0,0,300,885,,8/14/2019 10:50:50 AM,female,0,1
1321,2019,7,8,PENSIONISTA,,1035.6,0,0,0,300,1335.6,,8/14/2019 10:50:50 AM,female,0,1
1322,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,male,1,0
1323,2019,7,8,PENSIONISTA,,803.49,0,0,0,300,1103.49,,8/14/2019 10:50:50 AM,female,0,1
1324,2019,7,8,PENSIONISTA,,997.9,0,0,0,300,1297.9,,8/14/2019 10:50:50 AM,female,0,1
1325,2019,7,8,PENSIONISTA,,737,0,0,0,300,1037,,8/14/2019 10:50:50 AM,female,0,1
1326,2019,7,8,PENSIONISTA,,1026.75,0,0,0,300,1326.75,,8/14/2019 10:50:50 AM,male,1,0
1327,2019,7,8,PENSIONISTA,,737,0,0,0,300,1037,,8/14/2019 10:50:50 AM,male,1,0
1328,2019,7,8,PENSIONISTA,,860,0,0,0,300,1160,,8/14/2019 10:50:50 AM,female,0,1
1329,2019,7,8,PENSIONISTA,,612,0,0,0,300,912,,8/14/2019 10:50:50 AM,female,0,1
1330,2019,7,8,PENSIONISTA,,474,0,0,0,300,774,,8/14/2019 10:50:50 AM,female,0,1
1331,2019,7,8,PENSIONISTA,,707.05,0,0,0,300,1007.05,,8/14/2019 10:50:50 AM,male,1,0
1332,2019,7,8,PENSIONISTA,,847,0,0,0,300,1147,,8/14/2019 10:50:50 AM,female,0,1
1333,2019,7,8,PENSIONISTA,,966.92,0,0,0,300,1266.92,,8/14/2019 10:50:50 AM,female,0,1
1334,2019,7,8,PENSIONISTA,,1023.72,0,0,0,300,1323.72,,8/14/2019 10:50:50 AM,male,1,0
1335,2019,7,8,PENSIONISTA,,1112.75,0,0,0,300,1412.75,,8/14/2019 10:50:50 AM,male,1,0
1336,2019,7,8,PENSIONISTA,,1192.8,0,0,0,300,1492.8,,8/14/2019 10:50:50 AM,male,1,0
1337,2019,7,8,PENSIONISTA,,1320.16,0,0,0,300,1620.16,,8/14/2019 10:50:50 AM,female,0,1
1338,2019,7,8,PENSIONISTA,,639.24,0,0,0,300,939.24,,8/14/2019 10:50:50 AM,female,0,1
1339,2019,7,8,PENSIONISTA,,1024.38,0,0,0,300,1324.38,,8/14/2019 10:50:50 AM,female,0,1
1340,2019,7,8,PENSIONISTA,,594.14,0,0,0,300,894.14,,8/14/2019 10:50:50 AM,female,0,1
1341,2019,7,8,PENSIONISTA,,877.5,0,0,0,300,1177.5,,8/14/2019 10:50:50 AM,female,0,1
1342,2019,7,8,PENSIONISTA,,1421.26,0,0,0,300,1721.26,,8/14/2019 10:50:50 AM,female,0,1
1343,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,male,1,0
1344,2019,7,8,PENSIONISTA,,687.3,0,0,0,300,987.3,,8/14/2019 10:50:50 AM,female,0,1
1345,2019,7,8,PENSIONISTA,,789.41,0,0,0,300,1089.41,,8/14/2019 10:50:50 AM,female,0,1
1346,2019,7,8,PENSIONISTA,,865,0,0,0,300,1165,,8/14/2019 10:50:50 AM,female,0,1
1347,2019,7,8,PENSIONISTA,,566.43,0,0,0,300,866.43,,8/14/2019 10:50:50 AM,male,1,0
1348,2019,7,8,PENSIONISTA,,942.06,0,0,0,300,1242.06,,8/14/2019 10:50:50 AM,male,1,0
1349,2019,7,8,PENSIONISTA,,849.95,0,0,0,300,1149.95,,8/14/2019 10:50:50 AM,female,0,1
1350,2019,7,8,PENSIONISTA,,1111.46,0,0,0,300,1411.46,,8/14/2019 10:50:50 AM,female,0,1
1351,2019,7,8,PENSIONISTA,,549.27,0,0,0,300,849.27,,8/14/2019 10:50:50 AM,female,0,1
1352,2019,7,8,PENSIONISTA,,819.64,0,0,0,300,1119.64,,8/14/2019 10:50:50 AM,male,1,0
1353,2019,7,8,PENSIONISTA,,952,0,0,0,300,1252,,8/14/2019 10:50:50 AM,female,0,1
1354,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1355,2019,7,8,PENSIONISTA,,2412.26,0,0,0,300,2712.26,,8/14/2019 10:50:50 AM,male,1,0
1356,2019,7,8,PENSIONISTA,,872.73,0,0,0,300,1172.73,,8/14/2019 10:50:50 AM,male,1,0
1357,2019,7,8,PENSIONISTA,,925.03,0,0,0,300,1225.03,,8/14/2019 10:50:50 AM,female,0,1
1358,2019,7,8,PENSIONISTA,,935.2,0,0,0,300,1235.2,,8/14/2019 10:50:50 AM,female,0,1
1359,2019,7,8,PENSIONISTA,,981,0,0,0,300,1281,,8/14/2019 10:50:50 AM,female,0,1
1360,2019,7,8,PENSIONISTA,,883.45,0,0,0,300,1183.45,,8/14/2019 10:50:50 AM,male,1,0
1361,2019,7,8,PENSIONISTA,,1421.26,0,0,0,300,1721.26,,8/14/2019 10:50:50 AM,female,0,1
1362,2019,7,8,PENSIONISTA,,1198.36,0,0,0,300,1498.36,,8/14/2019 10:50:50 AM,male,1,0
1363,2019,7,8,PENSIONISTA,,1012.7,0,0,0,300,1312.7,,8/14/2019 10:50:50 AM,female,0,1
1364,2019,7,8,PENSIONISTA,,1320.14,0,0,0,300,1620.14,,8/14/2019 10:50:50 AM,female,0,1
1365,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1366,2019,7,8,PENSIONISTA,,1035.95,0,0,0,300,1335.95,,8/14/2019 10:50:50 AM,female,0,1
1367,2019,7,8,PENSIONISTA,,638.73,0,0,0,300,938.73,,8/14/2019 10:50:50 AM,female,0,1
1368,2019,7,8,PENSIONISTA,,853.89,0,0,0,300,1153.89,,8/14/2019 10:50:50 AM,male,1,0
1369,2019,7,8,PENSIONISTA,,767,0,0,0,300,1067,,8/14/2019 10:50:50 AM,female,0,1
1370,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,male,1,0
1371,2019,7,8,PENSIONISTA,,736.97,0,0,0,300,1036.97,,8/14/2019 10:50:50 AM,male,1,0
1372,2019,7,8,PENSIONISTA,,909,0,0,0,300,1209,,8/14/2019 10:50:50 AM,female,0,1
1373,2019,7,8,PENSIONISTA,,902.43,0,0,0,300,1202.43,,8/14/2019 10:50:50 AM,male,1,0
1374,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,male,1,0
1375,2019,7,8,PENSIONISTA,,904.07,0,0,0,300,1204.07,,8/14/2019 10:50:50 AM,male,1,0
1376,2019,7,8,PENSIONISTA,,550,0,0,0,300,850,,8/14/2019 10:50:50 AM,female,0,1
1377,2019,7,8,PENSIONISTA,,822,0,0,0,150,972,,8/14/2019 10:50:50 AM,female,0,1
1378,2019,7,8,PENSIONISTA,,1395.33,0,0,0,300,1695.33,,8/14/2019 10:50:50 AM,male,1,0
1379,2019,7,8,PENSIONISTA,,853.76,0,0,0,300,1153.76,,8/14/2019 10:50:50 AM,male,1,0
1380,2019,7,8,PENSIONISTA,,980.7,0,0,0,300,1280.7,,8/14/2019 10:50:50 AM,female,0,1
1381,2019,7,8,PENSIONISTA,,1421.26,0,0,0,300,1721.26,,8/14/2019 10:50:50 AM,male,1,0
1382,2019,7,8,PENSIONISTA,,330.1,0,0,0,0,330.1,,8/14/2019 10:50:50 AM,female,0,1
1383,2019,7,8,PENSIONISTA,,955,0,0,0,300,1255,,8/14/2019 10:50:50 AM,female,0,1
1384,2019,7,8,PENSIONISTA,,652,0,0,0,300,952,,8/14/2019 10:50:50 AM,female,0,1
1385,2019,7,8,PENSIONISTA,,1063.67,0,0,0,300,1363.67,,8/14/2019 10:50:50 AM,male,1,0
1386,2019,7,8,PENSIONISTA,,932.47,0,0,0,300,1232.47,,8/14/2019 10:50:50 AM,male,1,0
1387,2019,7,8,PENSIONISTA,,465.37,0,0,0,300,765.37,,8/14/2019 10:50:50 AM,female,0,1
1388,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1389,2019,7,8,PENSIONISTA,,864.74,0,0,0,300,1164.74,,8/14/2019 10:50:50 AM,male,1,0
1390,2019,7,8,PENSIONISTA,,102.37,0,0,0,300,402.37,,8/14/2019 10:50:50 AM,female,0,1
1391,2019,7,8,PENSIONISTA,,1063.22,0,0,0,300,1363.22,,8/14/2019 10:50:50 AM,male,1,0
1392,2019,7,8,PENSIONISTA,,590.27,0,0,0,300,890.27,,8/14/2019 10:50:50 AM,female,0,1
1393,2019,7,8,PENSIONISTA,,813.58,0,0,0,0,813.58,,8/14/2019 10:50:50 AM,male,1,0
1394,2019,7,8,PENSIONISTA,,616,0,0,0,0,616,,8/14/2019 10:50:50 AM,female,0,1
1395,2019,7,8,PENSIONISTA,,1034.54,0,0,0,300,1334.54,,8/14/2019 10:50:50 AM,male,1,0
1396,2019,7,8,PENSIONISTA,,744.06,0,0,0,300,1044.06,,8/14/2019 10:50:50 AM,male,1,0
1397,2019,7,8,PENSIONISTA,,1091.5,0,0,0,300,1391.5,,8/14/2019 10:50:50 AM,male,1,0
1398,2019,7,8,PENSIONISTA,,932.68,0,0,0,300,1232.68,,8/14/2019 10:50:50 AM,male,1,0
1399,2019,7,8,PENSIONISTA,,424.88,0,0,0,300,724.88,,8/14/2019 10:50:50 AM,female,0,1
1400,2019,7,8,PENSIONISTA,,847,0,0,0,300,1147,,8/14/2019 10:50:50 AM,female,0,1
1401,2019,7,8,PENSIONISTA,,1172.95,0,0,0,300,1472.95,,8/14/2019 10:50:50 AM,female,0,1
1402,2019,7,8,PENSIONISTA,,806.08,0,0,0,300,1106.08,,8/14/2019 10:50:50 AM,female,0,1
1403,2019,7,8,PENSIONISTA,,1350,0,0,0,300,1650,,8/14/2019 10:50:50 AM,male,1,0
1404,2019,7,8,PENSIONISTA,,633.98,0,0,0,300,933.98,,8/14/2019 10:50:50 AM,female,0,1
1405,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1406,2019,7,8,PENSIONISTA,,1000.42,0,0,0,300,1300.42,,8/14/2019 10:50:50 AM,male,1,0
1407,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1408,2019,7,8,PENSIONISTA,,1424.45,0,0,0,300,1724.45,,8/14/2019 10:50:50 AM,female,0,1
1409,2019,7,8,PENSIONISTA,,845.62,0,0,0,300,1145.62,,8/14/2019 10:50:50 AM,male,1,0
1410,2019,7,8,PENSIONISTA,,1437.55,0,0,0,300,1737.55,,8/14/2019 10:50:50 AM,male,1,0
1411,2019,7,8,PENSIONISTA,,1397.77,0,0,0,300,1697.77,,8/14/2019 10:50:50 AM,male,1,0
1412,2019,7,8,PENSIONISTA,,1028.26,0,0,0,300,1328.26,,8/14/2019 10:50:50 AM,male,1,0
1413,2019,7,8,PENSIONISTA,,890.38,0,0,0,300,1190.38,,8/14/2019 10:50:50 AM,male,1,0
1414,2019,7,8,PENSIONISTA,,460,0,0,0,0,460,,8/14/2019 10:50:50 AM,female,0,1
1415,2019,7,8,PENSIONISTA,,1199.82,0,0,0,300,1499.82,,8/14/2019 10:50:50 AM,female,0,1
1416,2019,7,8,PENSIONISTA,,950.96,0,0,0,300,1250.96,,8/14/2019 10:50:50 AM,male,1,0
1417,2019,7,8,PENSIONISTA,,1178.64,0,0,0,300,1478.64,,8/14/2019 10:50:50 AM,male,1,0
1418,2019,7,8,PENSIONISTA,,651.89,0,0,0,300,951.89,,8/14/2019 10:50:50 AM,male,1,0
1419,2019,7,8,PENSIONISTA,,607.97,0,0,0,300,907.97,,8/14/2019 10:50:50 AM,male,1,0
1420,2019,7,8,PENSIONISTA,,814.64,0,0,0,300,1114.64,,8/14/2019 10:50:50 AM,male,1,0
1421,2019,7,8,PENSIONISTA,,415,0,0,0,300,715,,8/14/2019 10:50:50 AM,female,0,1
1422,2019,7,8,PENSIONISTA,,1320.14,0,0,0,300,1620.14,,8/14/2019 10:50:50 AM,female,0,1
1423,2019,7,8,PENSIONISTA,,1035.95,0,0,0,300,1335.95,,8/14/2019 10:50:50 AM,male,1,0
1424,2019,7,8,PENSIONISTA,,849.5,0,0,0,300,1149.5,,8/14/2019 10:50:50 AM,female,0,1
1425,2019,7,8,PENSIONISTA,,1159.93,0,0,0,300,1459.93,,8/14/2019 10:50:50 AM,male,1,0
1426,2019,7,8,PENSIONISTA,,1061.82,0,0,0,300,1361.82,,8/14/2019 10:50:50 AM,female,0,1
1427,2019,7,8,PENSIONISTA,,1052.12,0,0,0,300,1352.12,,8/14/2019 10:50:50 AM,female,0,1
1428,2019,7,8,PENSIONISTA,,608.26,0,0,0,300,908.26,,8/14/2019 10:50:50 AM,male,1,0
1429,2019,7,8,PENSIONISTA,,817,0,0,0,300,1117,,8/14/2019 10:50:50 AM,female,0,1
1430,2019,7,8,PENSIONISTA,,583.74,0,0,0,300,883.74,,8/14/2019 10:50:50 AM,male,1,0
1431,2019,7,8,PENSIONISTA,,701.18,0,0,0,300,1001.18,,8/14/2019 10:50:50 AM,male,1,0
1432,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1433,2019,7,8,PENSIONISTA,,415,0,0,0,300,715,,8/14/2019 10:50:50 AM,male,1,0
1434,2019,7,8,PENSIONISTA,,533.92,0,0,0,300,833.92,,8/14/2019 10:50:50 AM,male,1,0
1435,2019,7,8,PENSIONISTA,,1320.14,0,0,0,300,1620.14,,8/14/2019 10:50:50 AM,male,1,0
1436,2019,7,8,PENSIONISTA,,1379.34,0,0,0,300,1679.34,,8/14/2019 10:50:50 AM,female,0,1
1437,2019,7,8,PENSIONISTA,,1085.99,0,0,0,300,1385.99,,8/14/2019 10:50:50 AM,male,1,0
1438,2019,7,8,PENSIONISTA,,550,0,0,0,0,550,,8/14/2019 10:50:50 AM,female,0,1
1439,2019,7,8,PENSIONISTA,,1421.27,0,0,0,300,1721.27,,8/14/2019 10:50:50 AM,female,0,1
1440,2019,7,8,PENSIONISTA,,1197.83,0,0,0,300,1497.83,,8/14/2019 10:50:50 AM,female,0,1
1441,2019,7,8,PENSIONISTA,,687,0,0,0,300,987,,8/14/2019 10:50:50 AM,female,0,1
1442,2019,7,8,PENSIONISTA,,897,0,0,0,300,1197,,8/14/2019 10:50:50 AM,female,0,1
1443,2019,7,8,PENSIONISTA,,959.29,0,0,0,300,1259.29,,8/14/2019 10:50:50 AM,female,0,1
1444,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1445,2019,7,8,PENSIONISTA,,635.32,0,0,0,300,935.32,,8/14/2019 10:50:50 AM,female,0,1
1446,2019,7,8,PENSIONISTA,,346.04,0,0,0,0,346.04,,8/14/2019 10:50:50 AM,female,0,1
1447,2019,7,8,PENSIONISTA,,1226.94,0,0,0,300,1526.94,,8/14/2019 10:50:50 AM,male,1,0
1448,2019,7,8,PENSIONISTA,,1176.05,0,0,0,300,1476.05,,8/14/2019 10:50:50 AM,male,1,0
1449,2019,7,8,PENSIONISTA,,969.31,0,0,0,300,1269.31,,8/14/2019 10:50:50 AM,female,0,1
1450,2019,7,8,PENSIONISTA,,1338.28,0,0,0,300,1638.28,,8/14/2019 10:50:50 AM,female,0,1
1451,2019,7,8,PENSIONISTA,,1184.03,0,0,0,300,1484.03,,8/14/2019 10:50:50 AM,male,1,0
1452,2019,7,8,PENSIONISTA,,855.55,0,0,0,300,1155.55,,8/14/2019 10:50:50 AM,male,1,0
1453,2019,7,8,PENSIONISTA,,1140.21,0,0,0,300,1440.21,,8/14/2019 10:50:50 AM,male,1,0
1454,2019,7,8,PENSIONISTA,,986.4,0,0,0,300,1286.4,,8/14/2019 10:50:50 AM,female,0,1
1455,2019,7,8,PENSIONISTA,,925.13,0,0,0,300,1225.13,,8/14/2019 10:50:50 AM,female,0,1
1456,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1457,2019,7,8,PENSIONISTA,,794.61,0,0,0,300,1094.61,,8/14/2019 10:50:50 AM,female,0,1
1458,2019,7,8,PENSIONISTA,,1036.23,0,0,0,300,1336.23,,8/14/2019 10:50:50 AM,male,1,0
1459,2019,7,8,PENSIONISTA,,1202.17,0,0,0,300,1502.17,,8/14/2019 10:50:50 AM,male,1,0
1460,2019,7,8,PENSIONISTA,,423.5,0,0,0,300,723.5,,8/14/2019 10:50:50 AM,male,1,0
1461,2019,7,8,PENSIONISTA,,850.8,0,0,0,300,1150.8,,8/14/2019 10:50:50 AM,male,1,0
1462,2019,7,8,PENSIONISTA,,1145.17,0,0,0,300,1445.17,,8/14/2019 10:50:50 AM,male,1,0
1463,2019,7,8,PENSIONISTA,,884.37,0,0,0,300,1184.37,,8/14/2019 10:50:50 AM,female,0,1
1464,2019,7,8,PENSIONISTA,,585,0,0,0,300,885,,8/14/2019 10:50:50 AM,female,0,1
1465,2019,7,8,PENSIONISTA,,1035.95,0,0,0,300,1335.95,,8/14/2019 10:50:50 AM,female,0,1
1466,2019,7,8,PENSIONISTA,,1323.39,0,0,0,300,1623.39,,8/14/2019 10:50:50 AM,male,1,0
1467,2019,7,8,PENSIONISTA,,980.7,0,0,0,300,1280.7,,8/14/2019 10:50:50 AM,male,1,0
1468,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,female,0,1
1469,2019,7,8,PENSIONISTA,,1371.35,0,0,0,300,1671.35,,8/14/2019 10:50:50 AM,male,1,0
1470,2019,7,8,PENSIONISTA,,1163.94,0,0,0,300,1463.94,,8/14/2019 10:50:50 AM,female,0,1
1471,2019,7,8,PENSIONISTA,,1087.15,0,0,0,300,1387.15,,8/14/2019 10:50:50 AM,female,0,1
1472,2019,7,8,PENSIONISTA,,865.64,0,0,0,300,1165.64,,8/14/2019 10:50:50 AM,male,1,0
1473,2019,7,8,PENSIONISTA,,909.39,0,0,0,300,1209.39,,8/14/2019 10:50:50 AM,male,1,0
1474,2019,7,8,PENSIONISTA,,857,0,0,0,300,1157,,8/14/2019 10:50:50 AM,female,0,1
1475,2019,7,8,PENSIONISTA,,986.4,0,0,0,300,1286.4,,8/14/2019 10:50:50 AM,female,0,1
1476,2019,7,8,PENSIONISTA,,639.24,0,0,0,300,939.24,,8/14/2019 10:50:50 AM,female,0,1
1477,2019,7,8,PENSIONISTA,,880,0,0,0,300,1180,,8/14/2019 10:50:50 AM,female,0,1
1478,2019,7,8,PENSIONISTA,,1315.35,0,0,0,300,1615.35,,8/14/2019 10:50:50 AM,male,1,0
1479,2019,7,8,PENSIONISTA,,604.49,0,0,0,300,904.49,,8/14/2019 10:50:50 AM,male,1,0
1480,2019,7,8,PENSIONISTA,,550,0,0,0,300,850,,8/14/2019 10:50:50 AM,female,0,1
1481,2019,7,8,PENSIONISTA,,474,0,0,0,300,774,,8/14/2019 10:50:50 AM,male,1,0
1482,2019,7,8,PENSIONISTA,,954.34,0,0,0,300,1254.34,,8/14/2019 10:50:50 AM,male,1,0
1483,2019,7,8,PENSIONISTA,,575.24,0,0,0,300,875.24,,8/14/2019 10:50:50 AM,female,0,1
1484,2019,7,8,PENSIONISTA,,1155.45,0,0,0,300,1455.45,,8/14/2019 10:50:50 AM,male,1,0
1485,2019,7,8,PENSIONISTA,,1178.27,0,0,0,300,1478.27,,8/14/2019 10:50:50 AM,female,0,1
1486,2019,7,8,PENSIONISTA,,1303.37,0,0,0,300,1603.37,,8/14/2019 10:50:50 AM,female,0,1
1487,2019,7,8,PENSIONISTA,,1248.25,0,0,0,300,1548.25,,8/14/2019 10:50:50 AM,male,1,0
1488,2019,7,8,PENSIONISTA,,1176.97,0,0,0,300,1476.97,,8/14/2019 10:50:50 AM,female,0,1
1489,2019,7,8,PENSIONISTA,,880,0,0,0,300,1180,,8/14/2019 10:50:50 AM,female,0,1
1490,2019,7,8,PENSIONISTA,,1052.84,0,0,0,300,1352.84,,8/14/2019 10:50:50 AM,female,0,1
1491,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,male,1,0
1492,2019,7,8,PENSIONISTA,,797,0,0,0,300,1097,,8/14/2019 10:50:50 AM,female,0,1
1493,2019,7,8,PENSIONISTA,,652.54,0,0,0,300,952.54,,8/14/2019 10:50:50 AM,female,0,1
1494,2019,7,8,PENSIONISTA,,550,0,0,0,0,550,,8/14/2019 10:50:50 AM,female,0,1
1495,2019,7,8,PENSIONISTA,,888.73,0,0,0,300,1188.73,,8/14/2019 10:50:50 AM,female,0,1
1496,2019,7,8,PENSIONISTA,,928,0,0,0,300,1228,,8/14/2019 10:50:50 AM,female,0,1
1497,2019,7,8,PENSIONISTA,,1153.06,0,0,0,300,1453.06,,8/14/2019 10:50:50 AM,male,1,0
1498,2019,7,8,PENSIONISTA,,570.84,0,0,0,300,870.84,,8/14/2019 10:50:50 AM,male,1,0
1499,2019,7,8,PENSIONISTA,,835.97,0,0,0,300,1135.97,,8/14/2019 10:50:50 AM,male,1,0
1500,2019,7,8,PENSIONISTA,,866.68,0,0,0,300,1166.68,,8/14/2019 10:50:50 AM,female,0,1
1501,2019,7,8,PENSIONISTA,,1191.19,0,0,0,300,1491.19,,8/14/2019 10:50:50 AM,male,1,0
1502,2019,7,8,PENSIONISTA,,639.24,0,0,0,300,939.24,,8/14/2019 10:50:50 AM,female,0,1
1503,2019,7,8,PENSIONISTA,,897,0,0,0,300,1197,,8/14/2019 10:50:50 AM,female,0,1
1504,2019,7,8,PENSIONISTA,,885.56,0,0,0,300,1185.56,,8/14/2019 10:50:50 AM,male,1,0
1505,2019,7,8,PENSIONISTA,,760.24,0,0,0,300,1060.24,,8/14/2019 10:50:50 AM,female,0,1
1506,2019,7,8,PENSIONISTA,,761.13,0,0,0,300,1061.13,,8/14/2019 10:50:50 AM,female,0,1
1507,2019,7,8,PENSIONISTA,,1421.26,0,0,0,300,1721.26,,8/14/2019 10:50:50 AM,male,1,0
1508,2019,7,8,PENSIONISTA,,812.3,0,0,0,300,1112.3,,8/14/2019 10:50:50 AM,male,1,0
1509,2019,7,8,PENSIONISTA,,822,0,0,0,300,1122,,8/14/2019 10:50:50 AM,female,0,1
1510,2019,7,8,PENSIONISTA,,474,0,0,0,300,774,,8/14/2019 10:50:50 AM,male,1,0
1511,2019,7,8,PENSIONISTA,,1262.59,0,0,0,300,1562.59,,8/14/2019 10:50:50 AM,female,0,1
1512,2019,7,8,PENSIONISTA,,936.27,0,0,0,300,1236.27,,8/14/2019 10:50:50 AM,female,0,1
1513,2019,7,8,PENSIONISTA,,1035.95,0,0,0,300,1335.95,,8/14/2019 10:50:50 AM,male,1,0
1514,2019,7,8,PENSIONISTA,,651.34,0,0,0,300,951.34,,8/14/2019 10:50:50 AM,male,1,0
1515,2019,7,8,PENSIONISTA,,927.2,0,0,0,300,1227.2,,8/14/2019 10:50:50 AM,female,0,1
1516,2019,7,8,PENSIONISTA,,893.02,0,0,0,300,1193.02,,8/14/2019 10:50:50 AM,female,0,1
1517,2019,7,8,PENSIONISTA,,652,0,0,0,300,952,,8/14/2019 10:50:50 AM,female,0,1
1518,2019,7,8,PENSIONISTA,,897,0,0,0,300,1197,,8/14/2019 10:50:50 AM,female,0,1
1519,2019,7,8,PENSIONISTA,,512.56,0,0,0,300,812.56,,8/14/2019 10:50:50 AM,female,0,1
1520,2019,7,8,PENSIONISTA,,1110.41,0,0,0,300,1410.41,,8/14/2019 10:50:50 AM,male,1,0
1521,2019,7,8,PENSIONISTA,,947,0,0,0,300,1247,,8/14/2019 10:50:50 AM,female,0,1
1522,2019,7,8,PENSIONISTA,,1305.23,0,0,0,300,1605.23,,8/14/2019 10:50:50 AM,female,0,1
1523,2019,7,8,PENSIONISTA,,770.69,0,0,0,300,1070.69,,8/14/2019 10:50:50 AM,female,0,1
1524,2019,7,8,PENSIONISTA,,1159.21,0,0,0,300,1459.21,,8/14/2019 10:50:50 AM,female,0,1
1525,2019,7,8,PENSIONISTA,,585,0,0,0,300,885,,8/14/2019 10:50:50 AM,male,1,0
1526,2019,7,8,PENSIONISTA,,614.62,0,0,0,300,914.62,,8/14/2019 10:50:50 AM,female,0,1
1527,2019,7,8,PENSIONISTA,,1036.26,0,0,0,300,1336.26,,8/14/2019 10:50:50 AM,female,0,1
1528,2019,7,8,PENSIONISTA,,887.19,0,0,0,300,1187.19,,8/14/2019 10:50:50 AM,male,1,0
1529,2019,7,8,PENSIONISTA,,1384.9,0,0,0,300,1684.9,,8/14/2019 10:50:50 AM,male,1,0
1530,2019,7,8,PENSIONISTA,,912.7,0,0,0,300,1212.7,,8/14/2019 10:50:50 AM,female,0,1
1531,2019,7,8,PENSIONISTA,,555.88,0,0,0,300,855.88,,8/14/2019 10:50:50 AM,female,0,1
1532,2019,7,8,PENSIONISTA,,622.68,0,0,0,300,922.68,,8/14/2019 10:50:50 AM,female,0,1
1533,2019,7,8,PENSIONISTA,,960,0,0,0,0,960,,8/14/2019 10:50:50 AM,female,0,1
1534,2019,7,8,PENSIONISTA,,418.09,0,0,0,0,418.09,,8/14/2019 10:50:50 AM,male,1,0
1535,2019,7,8,PENSIONISTA,,758,0,0,0,0,758,,8/14/2019 10:50:50 AM,male,1,0
1536,2019,7,8,PENSIONISTA,,849.7,0,0,0,300,1149.7,,8/14/2019 10:50:50 AM,male,1,0
1537,2019,7,8,PENSIONISTA,,804.15,0,0,0,300,1104.15,,8/14/2019 10:50:50 AM,female,0,1
1538,2019,7,8,PENSIONISTA,,1087.15,0,0,0,300,1387.15,,8/14/2019 10:50:50 AM,male,1,0
1539,2019,7,8,PENSIONISTA,,1196.82,0,0,0,300,1496.82,,8/14/2019 10:50:50 AM,female,0,1
1540,2019,7,8,PENSIONISTA,,1011.96,0,0,0,300,1311.96,,8/14/2019 10:50:50 AM,male,1,0
1541,2019,7,8,PENSIONISTA,,1124.62,0,0,0,300,1424.62,,8/14/2019 10:50:50 AM,male,1,0
1542,2019,7,8,PENSIONISTA,,896.03,0,0,0,300,1196.03,,8/14/2019 10:50:50 AM,female,0,1
1543,2019,7,8,PENSIONISTA,,1259.19,0,0,0,300,1559.19,,8/14/2019 10:50:50 AM,male,1,0
1544,2019,7,8,PENSIONISTA,,750.09,0,0,0,300,1050.09,,8/14/2019 10:50:50 AM,male,1,0
1545,2019,7,8,PENSIONISTA,,1286.02,0,0,0,300,1586.02,,8/14/2019 10:50:50 AM,female,0,1
1546,2019,7,8,PENSIONISTA,,654.94,0,0,0,300,954.94,,8/14/2019 10:50:50 AM,male,1,0
1547,2019,7,8,PENSIONISTA,,544.49,0,0,0,300,844.49,,8/14/2019 10:50:50 AM,female,0,1
