Column1,IN_PERSONAL_ANNO,IN_PERSONAL_MES,VC_PERSONAL_REGIMEN_LABORAL,VC_PERSONAL_CARGO,VC_PERSONAL_DEPENDENCIA,MO_PERSONAL_REMUNERACIONES,MO_PERSONAL_HONORARIOS,MO_PERSONAL_INCENTIVO,MO_PERSONAL_GRATIFICACION,MO_PERSONAL_OTROS_BENEFICIOS,MO_PERSONAL_TOTAL,VC_PERSONAL_OBSERVACIONES,FEC_REG,gender,male,female
753,2019,7,2,ESP. ADMINISTRATIVO. III,DIRECCIÃ“N GENERAL DE NEGOCIOS AGRARIOS,795.93,0,3013,300,0,3809.26,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
766,2019,7,2,ESP. ADMINISTRATIVO. III,DIRECCIÃ“N GENERAL DE SEGUIMIENTO Y EVALUACION DE POLITICAS,746.32,0,3013,300,0,3759.65,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
775,2019,7,2,ESP. ADMINISTRATIVO. III,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,655.57,0,3013,300,0,3668.9,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
921,2019,7,3,ESP. ADMINISTRATIVO. III,DIRECCIÃ“N GENERAL DE INFRAESTRUCTURA AGRARIA Y RIEGO,4204.22,0,0,4583,0,4204.22,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
664,2019,7,2,ESP. ADMINISTRATIVO. IV,OFICINA DE ABASTECIMIENTO Y PATRIMONIO,727.46,0,2783,300,0,3510.79,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
894,2019,7,2,ESP. ADMINISTRATIVO. IV,DIRECCIÃ“N DE ESTADÃSTICA AGRARIA,630.6,0,3013,300,0,3643.93,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
750,2019,7,2,ESP. EN CAPACITACION. II,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,605.62,0,3013,300,0,3618.95,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
922,2019,7,3,ESP. EN CIENCIAS DE LA INFORMACION IV,DIRECCION DE EVALUACION DE RECURSOS NATURALES,3900,0,0,4251,0,3900,NINGUNA,8/14/2019 10:11:52 AM,female,0,1
816,2019,7,2,ESP. EN FINANZAS I,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,605.62,0,3013,300,0,3618.95,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
737,2019,7,2,ESP. EN FINANZAS III,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,605.62,0,3013,300,0,3618.95,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
915,2019,7,3,ESP. EN FISIOGRAFIA Y SUELOS III,DIRECCION DE EVALUACION DE RECURSOS NATURALES,3400,0,0,3706,0,3400,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
928,2019,7,3,ESP. EN MEDIO AMBIENTE IV,DIRECCIÃ“N DE GESTIÃ“N AMBIENTAL AGRARIA,4300,0,0,4687,0,4300,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
912,2019,7,3,ESP. RECURSOS HIDRICOS III,DIRECCIÃ“N DE EVALUACIÃ“N DE LOS RECURSOS NATURALES.,3400,0,0,3706,0,3400,NINGUNA,8/14/2019 10:11:52 AM,female,0,1
789,2019,7,2,ESPECIALISTA ADM. IV,DIRECCION GENERAL DE SANEAMIENTO DE LA PROPIEDAD AGRARIA Y CATASTRO RURAL,1096.06,0,4163,300,0,5259.39,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
821,2019,7,2,ESPECIALISTA ADM. IV,OFICINA DE ABASTECIMIENTO Y PATRIMONIO,736.06,0,2783,300,0,3519.39,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
675,2019,7,2,ESPECIALISTA ADMINISTRATIVO I,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,605.62,0,3013,300,0,3618.95,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
658,2019,7,2,ESPECIALISTA ADMINISTRATIVO II,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,580.65,0,3013,300,0,3593.98,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
715,2019,7,2,ESPECIALISTA ADMINISTRATIVO II,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,596.53,0,3013,300,0,3609.86,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
749,2019,7,2,ESPECIALISTA ADMINISTRATIVO II,OFICINA DE TESORERÃA,580.65,0,3013,300,0,3593.98,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
810,2019,7,2,ESPECIALISTA ADMINISTRATIVO II,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,736.58,0,2783,300,0,3519.91,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
942,2019,7,3,ESPECIALISTA ADMINISTRATIVO II,DIRECCION GENERAL DE INFRAESTRUCTURA AGRARIA Y RIEGO,2800,0,0,2543,0,2800,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
669,2019,7,2,ESPECIALISTA ADMINISTRATIVO III,OFICINA DE TECNOLOGÃA DE LA INFORMACIÃ“N,630.6,0,3013,300,0,3643.93,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
938,2019,7,3,ESPECIALISTA ADMINISTRATIVO III,DIRECCIÃ“N GENERAL DE INFRAESTRUCTURA AGRARIA Y RIEGO,3786.35,0,0,4540,0,3786.35,NINGUNA,8/14/2019 10:11:52 AM,female,0,1
781,2019,7,2,ESPECIALISTA ADMINISTRATIVO IV,DIRECCION GENERAL DE SEGUIMIENTO Y EVALUACION,736.06,0,2783,300,0,3519.39,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
706,2019,7,2,ESPECIALISTA EN COMPETITIVIDAD II,DIRECCION GENERAL AGRICOLA,655.57,0,2783,300,0,3438.9,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
933,2019,7,3,ESPECIALISTA EN COMPETITIVIDAD IV,DIRECCIÃ“N DE GESTIÃ“N AMBIENTAL AGRARIA,3900,0,0,4251,0,3900,NINGUNA,8/14/2019 10:11:52 AM,male,1,0
806,2019,7,2,ESPECIALISTA EN EDUCACION. III,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,655.59,0,3013,300,0,3668.92,NINGUNA,8/14/2019 10:09:16 AM,female,0,1
876,2019,7,2,ESPECIALISTA EN FINANZAS II,OFICINA DE CONTABILIDAD,630.6,0,3013,300,0,3643.93,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
729,2019,7,2,ESPECIALISTA EN INSPECTORIA I,OFICINA GENERAL DE GESTIÃ“N DE RECURSOS HUMANOS,605.61,0,4163,300,0,4768.94,NINGUNA,8/14/2019 10:09:16 AM,male,1,0
